Id,Label,timeset,0,1,2,3,4,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,degree,weighted degree,Authority,Hub,componentnumber,clustering,triangles,eigencentrality,pageranks
"宝格丽 花舞轻盈（紫晶）",宝格丽 花舞轻盈（紫晶）,,86,宝格丽,959,木质花香调,女香,2,0.60303,0.670854,92.198407,1,68,76,0.065883,0.065883,0,0.502195,1144,0.547171,0.00525
"迪奥 华氏温度",迪奥 华氏温度,,90,迪奥,581,木质花香调,男香,2,0.575145,0.630653,36.303387,1,52,60,0.047988,0.047988,0,0.548265,727,0.400025,0.00419
"高田贤三 爱慕（千里之爱）",高田贤三 爱慕（千里之爱）,,81,高田贤三,184,东方美食调,女香,3,0.530667,0.561139,3.555293,3,25,26,0.020013,0.020013,0,0.883333,265,0.169001,0.002465
"普拉达 鸢尾花男士",普拉达 鸢尾花男士,,88,普拉达,268,木质馥奇香调,男香,2,0.573487,0.628141,34.589848,1,51,54,0.047107,0.047107,0,0.537255,685,0.39224,0.004104
"浪凡 光韵",浪凡 光韵,,87,浪凡,2258,花香果香调,女香,3,0.575145,0.632328,35.509964,2,53,63,0.054598,0.054598,0,0.637881,879,0.450004,0.004192
"三宅一生 一生之水男士",三宅一生 一生之水男士,,86,三宅一生,1629,水生木质调,男香,2,0.633758,0.711055,65.057175,4,84,113,0.092753,0.092754,0,0.59868,2087,0.763184,0.006101
"迪奥 沙丘女士",迪奥 沙丘女士,,91,迪奥,614,木质东方调,女香,2,0.573487,0.628141,33.139888,3,51,59,0.046212,0.046212,0,0.547451,698,0.386841,0.00414
"香奈儿 感性魅力",香奈儿 感性魅力,,83,香奈儿,201,东方花香调,女香,2,0.606707,0.675879,73.537515,3,70,90,0.065225,0.065225,0,0.530435,1281,0.544419,0.005409
"保罗史密斯 故事",保罗史密斯 故事,,90,保罗史密斯,206,花香果香调,男香,2,0.629747,0.70603,75.267125,1,82,105,0.08531,0.08531,0,0.545017,1810,0.70474,0.006052
"保罗史密斯 玫瑰之约",保罗史密斯 玫瑰之约,,89,保罗史密斯,1107,花香调,女香,2,0.62776,0.703518,83.61947,2,81,103,0.085185,0.085185,0,0.555247,1799,0.703367,0.005969
"迪奥 茉莉花",迪奥 茉莉花,,88,迪奥,430,花香调,女香,2,0.568571,0.620603,31.785834,0,48,59,0.044125,0.044125,0,0.64805,731,0.366757,0.003975
"卡地亚 龙之吻",卡地亚 龙之吻,,87,卡地亚,144,木质东方调,女香,2,0.60303,0.670854,72.647414,3,68,70,0.067432,0.067432,0,0.527217,1201,0.56079,0.005186
"迪奥 清新之水",迪奥 清新之水,,91,迪奥,934,柑橘馥奇香调,男香,2,0.633758,0.711055,62.725671,4,84,114,0.093037,0.093037,0,0.601836,2098,0.765731,0.006099
"高田贤三 一枝花（罂粟花/花样年华）",高田贤三 一枝花（罂粟花/花样年华）,,83,高田贤三,820,东方花香调,女香,2,0.656766,0.738693,174.722981,2,95,116,0.092802,0.092802,0,0.476148,2126,0.770031,0.007018
"香奈儿 5号",香奈儿 5号,,87,香奈儿,1313,醛香花香调,女香,2,0.652459,0.733668,103.181401,4,93,108,0.102427,0.102428,0,0.538336,2303,0.84487,0.006689
"宝格丽 红茶",宝格丽 红茶,,88,宝格丽,1151,木质东方调,中性香,3,0.580175,0.639866,22.168643,4,56,60,0.065146,0.065147,0,0.684416,1054,0.53483,0.00429
"迪奥 真我",迪奥 真我,,89,迪奥,2342,花香果香调,女香,3,0.563739,0.61474,20.885731,0,46,56,0.044509,0.044509,0,0.680193,704,0.368746,0.003766
"爱马仕 尼罗河花园",爱马仕 尼罗河花园,,94,爱马仕,4901,花香果香调,中性香,2,0.554318,0.59799,16.458918,1,39,43,0.03869,0.03869,0,0.616734,457,0.320552,0.003299
"安娜苏 许愿精灵",安娜苏 许愿精灵,,84,安娜苏,1759,花香果香调,女香,2,0.575145,0.630653,30.455919,4,52,55,0.058861,0.058861,0,0.74359,986,0.48332,0.004087
"爱马仕 大地清新版",爱马仕 大地清新版,,87,爱马仕,619,木质馥奇香调,男香,2,0.568571,0.620603,24.686181,1,48,56,0.046545,0.046545,0,0.58156,656,0.386145,0.003888
"卡伊 栀子花",卡伊 栀子花,,84,卡伊,182,花香调,女香,2,0.566952,0.61809,30.449194,0,47,58,0.043314,0.043314,0,0.652174,705,0.360234,0.00392
"祖玛珑 浓古龙-乌木与佛手柑（乌木与香柠檬）",祖玛珑 浓古龙-乌木与佛手柑（乌木与香柠檬）,,90,祖玛珑,450,东方调,中性香,2,0.639871,0.718593,78.328641,4,87,125,0.093993,0.093994,0,0.572574,2142,0.774325,0.006327
"香奈儿 力度",香奈儿 力度,,89,香奈儿,245,木质甘苔调,男香,2,0.604863,0.673367,46.531653,3,69,85,0.073443,0.073442,0,0.608696,1428,0.608175,0.005183
"斯特拉 同名女士",斯特拉 同名女士,,91,斯特拉,554,花香调,女香,2,0.576812,0.633166,27.827181,2,53,67,0.055103,0.055102,0,0.616836,850,0.456602,0.004178
"古驰 新同名男士",古驰 新同名男士,,89,古驰,404,木质甘苔调,男香,2,0.623824,0.698492,94.186192,3,79,87,0.083718,0.083718,0,0.521908,1608,0.691231,0.005863
"浪凡 琶音",浪凡 琶音,,86,浪凡,485,醛香花香调,女香,2,0.614198,0.68593,97.070585,0,74,88,0.071037,0.071037,0,0.509071,1375,0.591551,0.005628
"缪缪 同名",缪缪 同名,,84,缪缪,1202,花香调,女香,2,0.612308,0.683417,65.732392,0,73,91,0.07548,0.07548,0,0.589802,1550,0.625048,0.005523
