,name,rating,brand,perfumer,gender,types,scent1,scent2,scent3,scent4,scent5
0,"爱马仕 大地
Hermes Terre d'Hermes, 2006",9.7 分 5940 人评价,爱马仕,Jean-Claude Ellena,男香,辛辣木质调,橙子,香根草,胡椒,葡萄柚,雪松
1,"汤姆·福特 灰色香根草
Tom Ford Grey Vetiver, 2009",9.5 分 1408 人评价,汤姆·福特,Harry Fremont,男香,辛辣木质调,香根草,木质香,葡萄柚,橡木苔,肉豆蔻
2,"爱马仕 尼罗河花园
Hermes Un Jardin Sur Le Nil, 2005",9.4 分 4901 人评价,爱马仕,Jean-Claude Ellena,中性香,花香果香调,葡萄柚,芒果,莲花,番茄,橙子
3,"莱俪 墨恋
Lalique Encre Noire, 2006",9.3 分 3858 人评价,莱俪,Nathalie Lorson,男香,木质馥奇香调,香根草,柏树,开司米木,麝香,烟草
4,"宝格丽 大吉岭茶
Bvlgari Pour Homme, 1996",9.2 分 5175 人评价,宝格丽,Jacques Cavallier,男香,木质花香调,茶叶,醛,胡椒,香柠檬,麝香
5,"娇兰 一千零一夜
Guerlain Shalimar, 1925",9.2 分 1068 人评价,娇兰,Jacques Guerlain,女香,辛辣东方调,香草,焚香,皮革,柠檬,柑橘
6,"爱马仕 橘采星光（橘彩）
Hermes Eau des Merveilles, 2004",9 分 2396 人评价,爱马仕,Ralf Schwieger,女香,木质东方调,橙子,琥珀,冷杉,柠檬,胡椒
7,"博柏利 伦敦男士（新伦敦）
Burberry London for Men, 2006",9 分 1667 人评价,博柏利,Antoine Maisondieu,男香,辛辣东方调,烟草,肉桂,皮革,薰衣草,红没药
8,"香奈儿 可可小姐
Chanel Coco Mademoiselle, 2001",9 分 1548 人评价,香奈儿,Jacques Polge,女香,花香甘苔调,广藿香,橙子,玫瑰,橘子,香柠檬
9,"阿玛尼 寄情水男士
Giorgio Armani Acqua di Gio, 1996",9 分 1794 人评价,阿玛尼,Alberto Morillas,男香,水生馥奇香调,海水,柠檬,青柠,香柠檬,茉莉
10,"娇兰 午夜飞行
Guerlain Vol de Nuit, 1933",9.2 分 714 人评价,娇兰,Jacques Guerlain,女香,木质调,白松香,醛,鸢尾花,橡木苔,檀香木
11,"高田贤三 风之恋
Kenzo L'Eau par Kenzo pour Homme, 1999",8.9 分 2557 人评价,高田贤三,Olivier Cresp,男香,水生馥奇香调,柠檬,日本柚子,莲花,水,薄荷
12,"爱马仕 大地香精版
Hermes Terre d'Hermes Parfum, 2009",9.4 分 504 人评价,爱马仕,Jean-Claude Ellena,男香,木质甘苔调,橙子,木质香,葡萄柚,橡木苔,安息香脂
13,"迪奥 真我
Dior J'adore, 1999",8.9 分 2342 人评价,迪奥,Calice Becker,女香,花香果香调,茉莉,梨,香瓜,木兰,铃兰
14,"迪奥 清新之水
Dior Eau Sauvage, 1966",9.1 分 934 人评价,迪奥,Edmond Roudnitska,男香,柑橘馥奇香调,柠檬,香柠檬,罗勒,香根草,迷迭香
15,"娇兰 满堂红
Guerlain Habit Rouge Eau de Toilette, 1965",9.1 分 991 人评价,娇兰,Jean-Paul Guerlain,男香,木质东方调,柠檬,香草,皮革,玫瑰,檀香木
16,"爱马仕 屋顶花园
Hermes Un Jardin Sur Le Toit, 2011",8.9 分 2341 人评价,爱马仕,Jean-Claude Ellena,中性香,果香馥奇香调,青草,红苹果,梨,玫瑰,迷迭香
17,"爱马仕 地中海花园
Hermes Un Jardin En Mediterranee, 2003",8.9 分 1677 人评价,爱马仕,Jean-Claude Ellena,中性香,水生花香调,无花果叶,柠檬,柏树,杜松,香柠檬
